name,team,salary_2016_17,salary_2017_18,salary_2018_2019,salary_2019_2020,salary_2020_21,salary_2021_22,contract_type,games_played,minutes,points,field_goal_made,field_goad_attempted,field_goal_percentage,3_point_made,3_point_attempted,3_point_percentage,free_throw_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,efficiency,wins,losses,win_percentage
LeBron James,CLE,"$30,963,450","$33,285,709","$35,607,968",,,,Early Bird,76,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,1.4,0.6,3.3,27.5,57,25,0.695
DeMar DeRozan,TOR,"$26,540,100","$27,739,975","$27,739,975","$27,739,975","$27,739,975",,Cap Space,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,1.0,0.3,2.2,20.0,56,26,0.683
James Harden,HOU,"$26,540,100","$28,299,339","$30,431,854","$32,703,493",,,Bird Rights,82,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,1.7,0.6,4.6,27.8,41,41,0.5
Al Horford,BOS,"$26,540,100","$27,734,405","$28,928,710","$30,123,015",,,Cap Space,82,32.1,15.2,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,1.8,5.5,7.3,3.2,0.8,1.5,1.3,20.1,48,34,0.585
Russell Westbrook,OKC,"$26,540,100","$28,530,608","$30,670,404",,,,Bird Rights,80,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,2.0,0.3,4.3,28.5,55,27,0.671
Kevin Durant,GSW,"$26,540,100","$27,734,406",,,,,Cap Space,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,1.0,1.2,3.5,29.8,73,9,0.89
Dirk Nowitzki,DAL,"$25,000,000","$25,000,000",,,,,Bird Rights,75,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,0.7,0.7,1.1,18.3,42,40,0.512
Carmelo Anthony,NYK,"$24,559,380","$26,243,760","$27,928,140",,,,Bird Rights,72,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,0.9,0.5,2.4,21.4,32,50,0.39
Damian Lillard,POR,"$24,328,425","$26,153,057","$27,977,689","$29,802,321","$31,626,953",,1st Round Pick,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,0.9,0.4,3.2,21.8,44,38,0.537
Dwyane Wade,CHI,"$23,200,000","$23,800,000",,,,,Cap Space,74,30.5,19.0,7.3,16.0,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3.0,4.1,4.6,1.1,0.6,2.7,16.8,42,40,0.512
Dwight Howard,ATL,"$23,180,275","$23,500,000","$23,819,725",,,,Cap Space,71,32.1,13.7,5.2,8.5,62.0,0.0,0.1,0.0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,1.0,1.6,2.3,20.5,48,34,0.585
